id,agent名,缺少字段
1152,修仙科普短篇一键生成,体验链接
1151,企微文档用户反馈自动定位,体验链接
1144,「审小包」广告审核智能小助手,体验链接
1142,智能顾问-AI赋能云上架构治理,体验链接
1137,TripGO(即刻出发),体验链接
1123,TCS-Agent,体验链接
1122,AI辅助应用合规审核与质量巡检,体验链接
1119,合同智能起草,体验链接
1113,Brand Safety,"体验链接, 项目成员"
1111,公域垂媒分析助手,体验链接
1108,微信公众号AI分身（智能回复）,"体验链接, 项目成员"
1220,电商大促AI小助手,体验链接
1219,AI值班巡检排障助手,体验链接
1215,共富AI,体验链接
1213,doubleC,体验链接
1211,AI驱动UI自动化测试,体验链接
1209,公益项目进展分析报告生成智能体,体验链接
1203,SmartUI多模态UI自动化,体验链接
1202,混元AI播客Agent,体验链接
1199,企业微信私域服务AI助手,体验链接
1192,【和平精英】全场景AI小秘书,项目成员
1191,【和平精英】明星AI队友,"体验链接, 项目成员"
1345,公益项目进展分析报告生成智能体,体验链接
1343,美观度评测助手,"体验链接, 项目成员"
1342,元梦活动助手,体验链接
1341,扣叮慧读,体验链接
1339,AI埋点设计,体验链接
1337,千万级3D资产库AI搜索方案,体验链接
1336,123,"体验链接, 项目成员"
1335,IT运维智能服务台,体验链接
1332,云API AI助手,体验链接
1331,起名专家,体验链接
1329,活动运营风险检测,体验链接
1327,Midas商城内容生成助手,体验链接
1314,qt4s测试代码智能生成,"体验链接, 项目成员"
1313,Midas问题异常分析,项目成员
1312,腾讯公益数据需求智能助手,体验链接
1307,AI叮当旅行管家Agent,体验链接
1298,微信广告开发者AI服务助手,体验链接
1277,直播高光片段生成系统,体验链接
1275,信用卡AI赋能用户运营服务项目,项目成员
1265,混元AI IP分身Agent,体验链接
1260,端云协同隐私保护智能体HaS,体验链接
1259,软件包自维护Agent,体验链接
1256,ppt-agent 自动生成,项目成员
1245,小A助手 (Adata平台),体验链接
1242,大模型智能文案提效直播红点分发,体验链接
1403,代码异常定位助手,"体验链接, 项目成员"
1402,腾讯文档智能表格 AI 应用,"体验链接, 项目成员"
1401,企业微信智能服务总结,"体验链接, 项目成员"
1400,POI生产智能体,"体验链接, 项目成员"
1398,FiT 云平台AI助手,"体验链接, 项目成员"
1397,无障碍公益智能体集群,"体验链接, 项目成员"
1396,腾讯新闻用户反馈智能诊断助手,"体验链接, 项目成员"
1395,云原生中心AISE Agent,"体验链接, 项目成员"
1393,跨境汇款研发智能助手,"体验链接, 项目成员"
1392,多模态AI驱动UI自动化测试,"体验链接, 项目成员"
1391,腾讯公益研发助手,"体验链接, 项目成员"
1390,RCM智能生成Agent,"体验链接, 项目成员"
1388,AI辅助测试用例生成,"体验链接, 项目成员"
1387,A/Brain-广告实验大模型,"体验链接, 项目成员"
1385,微信支付境外商户海报Agent,"体验链接, 项目成员"
1383,跨境汇款通用代码编写智能体,"体验链接, 项目成员"
1380,C++转Java批跑AI自动化,"体验链接, 项目成员"
1375,跨境商户智能助手,"体验链接, 项目成员"
1374,游戏版号助手,"体验链接, 项目成员"
1371,MRR专家访谈AI助手-小玄,"体验链接, 项目成员"
1369,跨境业务研发智能运维,"体验链接, 项目成员"
1365,DBA永不眠,"体验链接, 项目成员"
1364,代码覆盖率MCP,"体验链接, 项目成员"
1362,基于多Agent协同的安全分析,"体验链接, 项目成员"
1355,资金中台运营小助手-证账实智能,"体验链接, 项目成员"
1352,GhostUnit,"体验链接, 项目成员"
1349,生产风险AI定位,"体验链接, 项目成员"
1346,midas经营分析问答助手,"体验链接, 项目成员"
1411,dlc udf迁移助手,"体验链接, 项目成员"
1410,FiT_Helper深度搜索,体验链接
1338,智能检查服务-你的资产治理助手,"体验链接, 项目成员"
